Date,ConfigStamp,Device,Platform,Policy,Result,Remediation config
09/21/19,10/22/15,dc1-acc-001.prod.cfg,IOS,01 - AAA,FAIL,aaa authentication password-prompt LocalPass> aaa authentication login default group tacacs+ enable aaa authorization exec default group tacacs+ if-authenticated aaa authorization commands 0 default group tacacs+ if-authenticated aaa authorization commands 1 default group tacacs+ if-authenticated aaa authorization commands 15 default group tacacs+ if-authenticated aaa authorization config-commands aaa accounting exec default start-stop group tacacs+ aaa accounting commands 15 default start-stop group tacacs+ aaa accounting connection default start-stop group tacacs+ 
09/21/19,10/22/15,dc1-acc-001.prod.cfg,IOS,02 - TACACS,FAIL,tacacs-server host 153.6.140.227 tacacs-server host 172.27.75.27 tacacs-server host 157.23.55.14 tacacs-server directed-request tacacs-server key <user input> 
09/21/19,10/22/15,dc1-acc-001.prod.cfg,IOS,03 - Line CONSOLE,FAIL,line con 0  logging synchronous 
09/21/19,10/22/15,dc1-acc-001.prod.cfg,IOS,04 - Line AUX,PASS,
09/21/19,10/22/15,dc1-acc-001.prod.cfg,IOS,05 - Line VTY1,PASS,
09/21/19,10/22/15,dc1-acc-001.prod.cfg,IOS,06 - Line VTY2,PASS,
09/21/19,10/22/15,dc1-acc-001.prod.cfg,IOS,07 - NTP,PASS,
09/21/19,10/22/15,dc1-acc-001.prod.cfg,IOS,08 - DNS,FAIL,ip domain-name net.yoyodyne.com ip name-server 192.168.20.1 ip name-server 192.168.20.2 
09/21/19,10/22/15,dc1-acc-001.prod.cfg,IOS,09 - SNMP ACL,FAIL,access-list 79 permit 138.69.236.133 access-list 79 permit 10.95.242.78 access-list 79 permit 153.6.140.110 access-list 79 permit 153.6.140.122 access-list 79 permit 153.6.140.225 access-list 79 permit 138.69.236.137 access-list 79 permit 138.69.236.138 access-list 79 permit 138.69.236.15 access-list 79 permit 138.69.236.16 access-list 79 permit 138.69.236.11 access-list 79 permit 138.69.236.134 access-list 79 permit 153.6.140.112 access-list 79 permit 172.27.224.25 access-list 79 permit 172.27.75.25 access-list 79 permit 172.27.75.19 access-list 79 permit 172.27.75.15 access-list 79 permit 172.27.75.10 access-list 79 permit 172.27.75.23 access-list 79 permit 172.27.75.13 access-list 79 permit 172.27.75.29 access-list 79 permit 172.27.75.30 access-list 79 permit 172.27.75.21 access-list 79 permit 172.27.75.14 access-list 79 permit 172.27.75.18 access-list 79 permit 153.6.140.46 access-list 79 permit 153.6.140.108 access-list 79 permit 172.27.75.12 access-list 79 permit 153.8.9.2 access-list 79 permit 138.69.236.163 access-list 79 permit 138.69.236.129 access-list 79 permit 138.69.236.131 access-list 79 permit 153.6.140.100 access-list 79 permit 172.27.75.31 access-list 79 permit 138.69.236.34 access-list 79 permit 138.69.236.36 access-list 79 permit 172.27.75.34 access-list 79 permit 172.27.75.36 access-list 79 permit 153.7.43.71 access-list 79 permit 10.105.0.24 access-list 79 permit 10.243.222.13 access-list 79 permit 10.243.223.77 access-list 79 permit 10.105.0.30 access-list 79 permit 138.69.236.23 access-list 79 permit 10.197.36.40 access-list 79 permit 10.197.36.41 
09/21/19,10/22/15,dc1-acc-001.prod.cfg,IOS,10 - SNMP,FAIL,snmp-server community XxXxXxXxX RO 79 snmp-server community XxXxXxXxX RW 79 snmp-server host 192.168.1.1 XxXxXxXxX snmp-server host 192.168.1.2 XxXxXxXxX snmp-server ifindex persist snmp-server trap link ietf logging snmp-authfail 
09/21/19,10/22/15,dc1-acc-001.prod.cfg,IOS,11 - SNMP Identity,FAIL,snmp-server location <user input> 
09/21/19,10/22/15,dc1-acc-001.prod.cfg,IOS,12 - Banner,FAIL,Computer System Terms of Use <user input> 
09/21/19,10/22/15,dc1-acc-001.prod.cfg,IOS,13 - SSH,FAIL,boot kickstart bootflash: <user input> 
09/21/19,10/22/15,dc1-acc-001.prod.cfg,IOS,14 - VStack,PASS,no vstack 
09/21/19,10/22/15,dc1-acc-001.prod.cfg,IOS,15 - BASIC Services,FAIL,service timestamps log datetime msec localtime show-timezone service timestamps debug datetime msec localtime show-timezone service sequence-numbers 
09/21/19,10/22/15,dc1-acc-001.prod.cfg,IOS,16 - Boot System,FAIL,boot system <user input> 
09/21/19,10/22/15,dc1-acc-001.prod.cfg,IOS,17 - RCMD,FAIL,ip rcmd remote-host netadmin 192.168.1.1 netadmin ip rcmd rsh-enable 
09/21/19,10/22/15,dc1-acc-001.prod.cfg,IOS,18 - LOOPBACK,PASS,
09/21/19,10/22/15,dc1-acc-001.prod.cfg,IOS,19 - Interface Security,PASS,
09/21/19,10/22/15,dc1-acc-001.prod.cfg,IOS,20 - Rapid ACL,PASS,
09/21/19,10/22/15,dc1-acc-001.prod.cfg,IOS,21 - SNMP Trap,PASS,
09/21/19,10/22/15,dc1-acc-001.prod.cfg,IOS,22 - Interface Description,PASS,
09/21/19,10/22/15,dc1-acc-001.prod.cfg,IOS,23 - IP SECURITY,FAIL,no ip bootp server 
09/21/19,10/22/15,dc1-acc-001.prod.cfg,IOS,24 - LOGGING,FAIL,logging 192.168.1.1 logging 192.168.1.2 logging 192.168.1.3 no logging console logging buffered <user input> 
09/21/19,10/22/15,dc1-acc-001.prod.cfg,IOS,25 - VTP,PASS,
09/21/19,10/22/15,dc1-acc-001.prod.cfg,IOS,26 - BPDUGUARD,FAIL,spanning-tree portfast bpduguard 
09/21/19,10/22/15,dc1-acc-001.prod.cfg,IOS,27 - BPDUGUARD-DEFAULT,PASS,
